""	"a"	"NA"	"NA"	"NA"	"año"	"Primarias"
"1"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"BENCINA MOVILIZACION PROYECTOS"	"54400"	"2005"	"No"
"2"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE PERSONAL"	"2e+05"	"2005"	"No"
"3"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE PERSONAL"	"1000511"	"2005"	"No"
"4"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"POR DESPLAZAMIENTO EN CAMPANA X RE"	"9900"	"2005"	"No"
"5"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"POR DESPLAZAMIENTO EN CAMPANA X RE"	"9900"	"2005"	"No"
"6"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION DE PERSONAS ACTO PUBLICO"	"570000"	"2005"	"No"
"7"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION DE PERSONAS ACTO PUBLICO"	"60000"	"2005"	"No"
"8"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION DE PERSONAS ACTO PUBLICO"	"35000"	"2005"	"No"
"9"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE LETREROS Y PALOMAS"	"1500000"	"2005"	"No"
"10"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE LETREROS Y PALOMAS"	"1500000"	"2005"	"No"
"11"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE BRIGADISTAS EN CAMPANA"	"2e+05"	"2005"	"No"
"12"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA POLITICA"	"2e+05"	"2005"	"No"
"13"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA POLITICA"	"2e+05"	"2005"	"No"
"14"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE BRIGADISTAS EN CAMPANA"	"140000"	"2005"	"No"
"15"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE BRIGADISTAS EN CAMPANA"	"80000"	"2005"	"No"
"16"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"VIAJE DE PTO DGO A PTO SAAVEDRA"	"70000"	"2005"	"No"
"17"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE COMANDO EN GIRA IX REGION"	"45000"	"2005"	"No"
"18"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"SERVICIO ESPECIALES DE TRASLADO"	"40000"	"2005"	"No"
"19"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE PERSONAS EN CAMPANA"	"590000"	"2005"	"No"
"20"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE PERSONAS EN CAMPANA"	"2e+05"	"2005"	"No"
"21"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"BANCINA PARA EL TRASLADO DE COMANDO"	"130000"	"2005"	"No"
"22"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA POLITICA"	"1250000"	"2005"	"No"
"23"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE BRIGADISTAS EN CAMPANA"	"35000"	"2005"	"No"
"24"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLDO MOVILIZACION AEROPUERTO"	"35000"	"2005"	"No"
"25"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO COMANDO"	"35000"	"2005"	"No"
