""	"a"	"NA"	"NA"	"NA"	"año"	"Primarias"
"26"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO COMANDO EN CAMPANA"	"1872000"	"2005"	"No"
"27"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO COMANDO EN CAMPANA"	"791020"	"2005"	"No"
"28"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRANSPORTE E BRIGADISTAS EN CAMPANA"	"6e+05"	"2005"	"No"
"29"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADOS REALIZADOS EN OCTUBRE"	"35000"	"2005"	"No"
"30"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE PERSONAL"	"648000"	"2005"	"No"
"31"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"BENCINA MOVILIZACION PROYECTOS"	"47500"	"2005"	"No"
"32"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE PERSONAL"	"2e+05"	"2005"	"No"
"33"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE BRIGADISTAS"	"8e+05"	"2005"	"No"
"34"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE BRIGADISTAS"	"8e+05"	"2005"	"No"
"35"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE BRIGADISTAS"	"687241"	"2005"	"No"
"36"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE BRIGADISTAS"	"595000"	"2005"	"No"
"37"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA PRESIDENCIAL"	"1250000"	"2005"	"No"
"38"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"FLETE Y TRASLADO DE MATERIALES PARA ESCENARI"	"2e+05"	"2005"	"No"
"39"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE COMANDO TEMUCO NVA IMPERIA"	"50000"	"2005"	"No"
"40"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA PRESIDENCIAL"	"750000"	"2005"	"No"
"41"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA PRESIDENCIAL"	"210000"	"2005"	"No"
"42"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA PRESIDENCIAL"	"420000"	"2005"	"No"
"43"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA PRESIDENCIAL"	"2e+05"	"2005"	"No"
"44"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA PRESIDENCIAL"	"25000"	"2005"	"No"
"45"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA PRESIDENCIAL"	"25000"	"2005"	"No"
"46"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA POLITICA"	"180000"	"2005"	"No"
"47"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA POLITICA"	"60000"	"2005"	"No"
"48"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE CANDIDATO Y COMITIVA"	"374400"	"2005"	"No"
"49"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE BRIGADISTAS EN CAMPANA"	"35000"	"2005"	"No"
"50"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE ADHERENTES"	"80000"	"2005"	"No"
"51"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"VIAJE BUS CORONEL VALDIVIA"	"80000"	"2005"	"No"
"52"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"VIAJE ESPECIAL"	"80000"	"2005"	"No"
"53"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE COMANDO A VALDIVIA"	"45000"	"2005"	"No"
"54"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRANSPORTE DE MATERIAL PARA CAMPANA"	"476000"	"2005"	"No"
"55"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"VIAJE AM SANTA CRUZ"	"70000"	"2005"	"No"
"56"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"DIESEL PARA VEHICULOS"	"276800"	"2005"	"No"
"57"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"DIESEL PARA VEHICULOS"	"53707"	"2005"	"No"
"58"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE CANDIDATO Y COMITIVA"	"213600"	"2005"	"No"
"59"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"SERVICIOS DE TRANSPORTE DE PASAJEROS"	"8e+05"	"2005"	"No"
"60"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"SERVICIOS DE TRANSPORTE DE PASAJEROS"	"8e+05"	"2005"	"No"
"61"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE CANDIDATO Y COMITIVA"	"70800"	"2005"	"No"
"62"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"SERVICIO DE TRANSPORTE DE PASAJEROS"	"80000"	"2005"	"No"
"63"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE CANDIDATO Y COMITIVA"	"333200"	"2005"	"No"
"64"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"VIAJE DE YUNGAY EL CARMEN"	"60000"	"2005"	"No"
"65"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"COMPRAS DE REPUESTOS PARA CAMIONES"	"120190"	"2005"	"No"
"66"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE BRIGADISTAS EN CAMPANA"	"180000"	"2005"	"No"
"67"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"FLETES EN GENERAL"	"55001"	"2005"	"No"
"68"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA POLITICA"	"1250000"	"2005"	"No"
"69"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"BENCINA PARA EL TRASLADO DE COMANDO"	"20000"	"2005"	"No"
"70"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE BRIGADISTAS EN CAMPANA"	"120000"	"2005"	"No"
"71"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE BRIGADISTAS EN CAMPANA"	"3207050"	"2005"	"No"
"72"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE BRIGADISTAS EN CAMPANA"	"2399857"	"2005"	"No"
"73"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE BRIGADISTAS EN CAMPANA"	"5e+06"	"2005"	"No"
"74"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE BRIGADISTAS EN CAMPANA"	"35000"	"2005"	"No"
"75"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE BRIGADISTAS EN CAMPANA"	"25000"	"2005"	"No"
"76"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRSLADO DE BRIGADISTAS EN CAMPANA"	"30000"	"2005"	"No"
"77"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRSLADO DE BRIGADISTAS EN CAMPANA"	"32000"	"2005"	"No"
"78"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRSLADO DE BRIGADISTAS EN CAMPANA"	"70000"	"2005"	"No"
"79"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA POLITICA"	"50000"	"2005"	"No"
"80"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA POLITICA"	"120000"	"2005"	"No"
"81"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA POLITICA"	"35000"	"2005"	"No"
"82"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"RESPUESTOS PARA CAMIONES"	"10948"	"2005"	"No"
"83"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"VIAJE DE COMANDO DE ANDACOLLO A SERENA"	"40000"	"2005"	"No"
"84"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"BENCINA PARA EL TRANSPORTE EN CAMPANA"	"70727"	"2005"	"No"
"85"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"BENCINA PARA EL TRANSPORTE EN CAMPANA"	"120000"	"2005"	"No"
"86"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"SERVICIO TECNICO PARA CAMIONES"	"249900"	"2005"	"No"
"87"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"REPARACIONES EN GENERAL DE CAMIONES"	"1160250"	"2005"	"No"
"88"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA PRESIDENCIAL"	"35000"	"2005"	"No"
"89"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA PRESIDENCIAL"	"214200"	"2005"	"No"
"90"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA PRESIDENCIAL"	"140000"	"2005"	"No"
"91"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA PRESIDENCIAL"	"120000"	"2005"	"No"
"92"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA PRESIDENCIAL"	"35000"	"2005"	"No"
"93"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA PRESIDENCIAL"	"4e+06"	"2005"	"No"
"94"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA PRESIDENCIAL"	"640000"	"2005"	"No"
"95"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA PRESIDENCIAL"	"270000"	"2005"	"No"
"96"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRASLADO DE COMANDO A GRANEROS"	"130000"	"2005"	"No"
"97"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRANSPORTE DE BRIGADISTAS EN CAMANA"	"218000"	"2005"	"No"
"98"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRANSPORTE DE BRIGADISTAS EN CAMANA"	"1650000"	"2005"	"No"
"99"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"TRANSPORTE DE BRIGADISTAS EN CAMANA"	"4950000"	"2005"	"No"
"100"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"BANCINA PARA MOVILIZACION DE VEHICULOS"	"140000"	"2005"	"No"
"101"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"BANCINA PARA MOVILIZACION DE VEHICULOS"	"110000"	"2005"	"No"
"102"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"SERVICIO TECNICO PARA CAMIONES"	"1484525"	"2005"	"No"
"103"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVICILIZACION EN CAMPANA PRESIDENCIAL"	"786072"	"2005"	"No"
"104"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA PRESIDENCIAL"	"360000"	"2005"	"No"
"105"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA PRESIDENCIAL"	"786071"	"2005"	"No"
"106"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"VIAJE  EN TRANSPORTE AERO"	"12925168"	"2005"	"No"
"107"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA PRESIDENCIAL"	"5e+05"	"2005"	"No"
"108"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA PRESIDENCIAL"	"240000"	"2005"	"No"
"109"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA PRESIDENCIAL"	"786072"	"2005"	"No"
"110"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MOVILIZACION EN CAMPANA PRESIDENCIAL"	"1400000"	"2005"	"No"
"111"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ALOJAMIENTO HOTEL Y CONSUMO"	"841950"	"2005"	"No"
"112"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ALOJAMIENTO HOTEL Y CONSUMO"	"326609"	"2005"	"No"
"113"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"HABITACION TELEFONO Y FRIGOBAR"	"176120"	"2005"	"No"
"114"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE HABITACIONES PARA ESTADIA"	"159200"	"2005"	"No"
"115"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE SERVICIOS DE FLETE"	"0"	"2005"	"No"
"116"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE GENERADOR"	"530740"	"2005"	"No"
"117"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE PUBLICIDAD EN VIA"	"2737000"	"2005"	"No"
"118"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO MAQUINA DE CONFETTI"	"226100"	"2005"	"No"
"119"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE TOIDOS PARA EVENTOS"	"727376"	"2005"	"No"
"120"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE SILLAS Y MESAS"	"1067430"	"2005"	"No"
"121"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDOS DE HABITACIONES PARA ESTADIA"	"425781"	"2005"	"No"
"122"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE ALOJAMIENTO PARA CANDIDATO"	"266300"	"2005"	"No"
"123"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE VEHICULOS PARA TRANSPORTE"	"637376"	"2005"	"No"
"124"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE  HABITACIONES PARA ESTADIA"	"298210"	"2005"	"No"
"125"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE AMPLIFICACION"	"160579"	"2005"	"No"
"126"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE AMPLIFICACION"	"107001"	"2005"	"No"
"127"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO TELEFONIA"	"0"	"2005"	"No"
"128"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"HOSPEDAJE Y ALOJAMIENTO"	"273041"	"2005"	"No"
"129"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO SERVICIOS TELEFONICO"	"123795"	"2005"	"No"
"130"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO VALLAS PUBLICIDAD"	"13090000"	"2005"	"No"
"131"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO GENERADORES Y ESCENARIOS"	"709240"	"2005"	"No"
"132"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"HOSPEDAJE Y ALOJAMIENTO CAMPANA"	"302186"	"2005"	"No"
"133"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"HOSPEDAJE Y ALOJAMIENTO CAMPANA"	"400163"	"2005"	"No"
"134"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"HOSPEDAJE Y ALOJAMIENTO CAMPANA"	"231400"	"2005"	"No"
"135"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE HABIACION PARA CANDIDATO"	"276848"	"2005"	"No"
"136"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE HABITACIONES"	"250000"	"2005"	"No"
"137"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE HABITACIONES"	"131500"	"2005"	"No"
"138"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"DERECHOS DE IMPUESTOS"	"23435"	"2005"	"No"
"139"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"DERECHOS DE IMPUESTOS"	"65853"	"2005"	"No"
"140"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE CHARTERS DE PASAJEROS PTO MONTT"	"480000"	"2005"	"No"
"141"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE ESTRUCTURAS E INSTALACION DE ESTA"	"8983905"	"2005"	"No"
"142"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE CONTRATISTA SUMISTRO ESTRUCTURA"	"2415700"	"2005"	"No"
"143"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE VEHICULO PARA VISITAS ENTERRENO"	"125036"	"2005"	"No"
"144"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE AMPLIFICACION Y DJ"	"773500"	"2005"	"No"
"145"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE TOLDOS"	"103911"	"2005"	"No"
"146"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE ESTRUCTURAS PUBLICITARIAS"	"3e+06"	"2005"	"No"
"147"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE AMPLIFICACION Y MUSICA EN VIVO"	"95200"	"2005"	"No"
"148"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO  DE HABITACION PARA CANDIDATO"	"223490"	"2005"	"No"
"149"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE SILLAS VAJILLAS MESON PARA EVENTO"	"943154"	"2005"	"No"
"150"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE HABITACION PARA CANDIDATO"	"107695"	"2005"	"No"
"151"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE 4 BIGUALAS"	"1457750"	"2005"	"No"
"152"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO MAQUINQRIA PESADA"	"2500000"	"2005"	"No"
"153"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"AARIENDO DE SEGUROS CONTA ROBOS VEHICULOS"	"370804"	"2005"	"No"
"154"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE SEGUROS CONTA ROBOS VEHICULOS"	"111812"	"2005"	"No"
"155"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE SEGUROS CONTA ROBOS VEHICULOS"	"175144"	"2005"	"No"
"156"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE SEGUROS CONTA ROBOS VEHICULOS"	"140325"	"2005"	"No"
"157"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE SEGUROS CONTA ROBOS VEHICULOS"	"140325"	"2005"	"No"
"158"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE SEGUROS CONTA ROBOS VEHICULOS"	"154843"	"2005"	"No"
"159"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE RAMPLAS PARA EVENTOS"	"238000"	"2005"	"No"
"160"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE ESCENARIOS PARA CAMIONES"	"499800"	"2005"	"No"
"161"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE HABITACION PARA CANDIDATO"	"176066"	"2005"	"No"
"162"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE HABITACION PARA CANDIDATO"	"169584"	"2005"	"No"
"163"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE HABITACION PARA CANDIDATO"	"62835"	"2005"	"No"
"164"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE HABITACION PARA CANDIDATO"	"104979"	"2005"	"No"
"165"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE HABITACION PARA CANDIDATO"	"144950"	"2005"	"No"
"166"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE HABITACION PARA CANDIDATO"	"71920"	"2005"	"No"
"167"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE HABITACION PARA CANDIDATO"	"88599"	"2005"	"No"
"168"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE ESTADIO PARA ENCUENTRO PRESIDEN"	"238000"	"2005"	"No"
"169"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE AMPLIFICACION"	"309400"	"2005"	"No"
"170"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE HABITACION PARA CANDIDATO"	"207821"	"2005"	"No"
"171"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"AMPLICACION PARRILLAS TRS ESCENARIOS GRABA"	"1166200"	"2005"	"No"
"172"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE ALOJAMIENTOS"	"334220"	"2005"	"No"
"173"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE ALOJAMIENTOS"	"14600"	"2005"	"No"
"174"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE AOJAMIENTOS"	"107800"	"2005"	"No"
"175"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE PROJECTOR VIDEO Y TELON"	"71400"	"2005"	"No"
"176"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE HABITACION PARA CANDIDATO"	"105420"	"2005"	"No"
"177"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE MINIBUS"	"28500"	"2005"	"No"
"178"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"AMPLIFICACION DE EVENTOS"	"476000"	"2005"	"No"
"179"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"SERVICIOS ESPACIALES"	"230000"	"2005"	"No"
"180"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE EMBARCACION"	"2e+05"	"2005"	"No"
"181"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ARRIENDO DE AMBARCACION"	"428400"	"2005"	"No"
"182"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"AMPLIFICACION DE EVENTOS"	"150000"	"2005"	"No"
