""	"a"	"NA"	"NA"	"NA"	"año"	"Primarias"
"490"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"RODRIGO GONZALO DIAZWORNER"	"3e+05"	"2017"	"No"
"491"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"LAURA MARIANA AYLWINOYARZUN"	"1e+05"	"2017"	"No"
"492"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"JAVIER EDUARDO OSORIO SEPULVEDA"	"2e+05"	"2017"	"No"
"493"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"20000"	"2017"	"No"
"494"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"75000"	"2017"	"No"
"495"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"60000"	"2017"	"No"
"496"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"JORGE CLODOMIRO BARRIENTOS PAZ"	"1e+05"	"2017"	"No"
"497"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"CHRISTIAN ALEJANDROGARCIA CASTILLO"	"1e+06"	"2017"	"No"
"498"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"NICOLAS IGNACIO DELPIN REDONDO"	"15000"	"2017"	"No"
"499"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"1e+06"	"2017"	"No"
"500"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"50000"	"2017"	"No"
"501"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"JORGE IGNACIO CANALSDE LA PUENTE"	"150000"	"2017"	"No"
"502"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"EDUARDO JAVIER ROJASZEPEDA"	"1e+05"	"2017"	"No"
"503"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"5e+05"	"2017"	"No"
"504"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"1e+06"	"2017"	"No"
"505"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"ARIEL ANDRES ROSSELZUÑIGA"	"1e+05"	"2017"	"No"
"506"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"GUILLERMO EUGENIO DELA JARA CARDENAS"	"150000"	"2017"	"No"
"507"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"CLAUDIA PAOLA AMESTICA SAAVEDRA"	"5000"	"2017"	"No"
"508"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"MARCELO ANDRES SANTIBAÑEZ PRADO"	"60000"	"2017"	"No"
"509"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"D'ANGELO MANUEL GOMEZ URIBE"	"1e+05"	"2017"	"No"
"510"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"LUIS ALBERTO BOSSA GARCIA"	"50000"	"2017"	"No"
"511"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"GUILLERMO EUGENIO DELA JARA CARDENAS"	"150000"	"2017"	"No"
"512"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"ALBERTO EDGARDO RIVAS ZAPATA"	"35000"	"2017"	"No"
"513"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"LUISA MARGARITA VERICAT TELLO"	"40000"	"2017"	"No"
"514"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"ZARKO COSME LUKSIC SANDOVAL"	"5e+05"	"2017"	"No"
"515"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"2e+05"	"2017"	"No"
"516"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"PATRICIO ALFREDO ROSENDE LYNCH"	"1e+05"	"2017"	"No"
"517"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"11"	"2017"	"No"
"518"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"1e+05"	"2017"	"No"
"519"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"MARIA CECILIA DEL SAGRADO CORAZON DEL RIO VARELA"	"1e+05"	"2017"	"No"
"520"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"150000"	"2017"	"No"
"521"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"50000"	"2017"	"No"
"522"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"250000"	"2017"	"No"
"523"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"2e+05"	"2017"	"No"
"524"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"JENIFER ANDREA TORRES CATALAN"	"3e+05"	"2017"	"No"
"525"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"LESLIE TAMARA OJEDAGONZALEZ"	"2e+05"	"2017"	"No"
"526"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"10000"	"2017"	"No"
"527"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"MARIO ENRIQUE TAPIAORELLANA"	"2e+05"	"2017"	"No"
"528"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"30000"	"2017"	"No"
"529"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"CRISTOBAL ISAIAS ORTIZ WURTH"	"1e+05"	"2017"	"No"
"530"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"2e+05"	"2017"	"No"
"531"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"GUSTAVO ANDRES RAYOURRUTIA"	"50000"	"2017"	"No"
"532"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"GUSTAVO ANDRES RAYOURRUTIA"	"50000"	"2017"	"No"
"533"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"30000"	"2017"	"No"
"534"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"ALEJANDRO FERREIRO YAZIGI"	"350000"	"2017"	"No"
"535"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"GABRIELA ALEJANDRA INGEBORG KRAUSS VALLE"	"5e+05"	"2017"	"No"
"536"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"MARIA EUGENIA PAREDES BARRIENTOS"	"1e+05"	"2017"	"No"
"537"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"CRISTINA BEATRIZ SANTIBAÑEZ BORIC"	"1e+05"	"2017"	"No"
"538"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"10000"	"2017"	"No"
"539"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"15000"	"2017"	"No"
"540"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"SERGIO DANIEL BARRIAIROUME"	"5e+05"	"2017"	"No"
"541"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"5e+05"	"2017"	"No"
"542"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"50000"	"2017"	"No"
"543"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"WASHINGTON MARIO LATHROP CASTRO"	"2e+05"	"2017"	"No"
"544"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"HECTOR LUIS FELIPE SANDOVAL PRECHT"	"5e+05"	"2017"	"No"
"545"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"PABLO LUIS JAEGER COUSIÑO"	"2e+05"	"2017"	"No"
"546"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"CLAUDIO ARMANDO TERNICIER GONZALEZ"	"2e+05"	"2017"	"No"
"547"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"JORGE CORREA SUTIL"	"5e+05"	"2017"	"No"
"548"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"5e+05"	"2017"	"No"
"549"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"FRANCISCO MARIANO MANUEL FERNANDEZ AMUNATEGUI"	"1e+06"	"2017"	"No"
"550"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"RODRIGO CRISTOBAL AZOCAR HIDALGO"	"5e+05"	"2017"	"No"
"551"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"5e+05"	"2017"	"No"
"552"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"CARLOS ENRIQUE GOMEZCARDENAS"	"5e+05"	"2017"	"No"
"553"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"RAMON CESAR AUGUSTOGOMEZ VIVEROS"	"1e+05"	"2017"	"No"
"554"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"CARLOS FRANCISCO MELO RIQUELME"	"1e+05"	"2017"	"No"
"555"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"MAURICIO FRANCISCO MORALES COLOMBRE"	"15000"	"2017"	"No"
"556"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"1e+06"	"2017"	"No"
"557"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"4e+05"	"2017"	"No"
"558"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"1052796"	"2017"	"No"
"559"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"3e+05"	"2017"	"No"
"560"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"1e+06"	"2017"	"No"
"561"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"1e+06"	"2017"	"No"
"562"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"3e+05"	"2017"	"No"
"563"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"1e+06"	"2017"	"No"
"564"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"5e+05"	"2017"	"No"
"565"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"5e+05"	"2017"	"No"
"566"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"3e+05"	"2017"	"No"
"567"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"LUIS ALBERTO PIZARROSALDIAS"	"1e+05"	"2017"	"No"
"568"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"50000"	"2017"	"No"
"569"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"JAIME EDUARDO BURROWS OYARZUN"	"1e+05"	"2017"	"No"
"570"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"CHRISTIAN RODRIGO SUAREZ PARRAO"	"1e+05"	"2017"	"No"
"571"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"5e+05"	"2017"	"No"
"572"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"250000"	"2017"	"No"
"573"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"GERMAN EDUARDO ORTIZSILVA"	"50000"	"2017"	"No"
"574"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"50000"	"2017"	"No"
"575"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"20000"	"2017"	"No"
"576"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"ANDRES IGNACIO AGUILERA GUZMAN"	"33333"	"2017"	"No"
"577"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"CLAUDIA SILVA PAREDES"	"1e+05"	"2017"	"No"
"578"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"5e+05"	"2017"	"No"
"579"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"5e+05"	"2017"	"No"
"580"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"2e+05"	"2017"	"No"
"581"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"1e+05"	"2017"	"No"
"582"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"GENARO LUIS ARRIAGADA HERRERA"	"947204"	"2017"	"No"
"583"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"MARIA PIA SILVA GALLINATO"	"50000"	"2017"	"No"
"584"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"EDMUNDO JAIME PEREZYOMA"	"5e+05"	"2017"	"No"
"585"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"LUIS ALFREDO ALBERTOETCHEBERRY ORTHUSTEGUY"	"1e+06"	"2017"	"No"
"586"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"NICOLAS EDUARDO MENALETELIER"	"75000"	"2017"	"No"
"587"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"FRANCISCO JAVIER PEREZ WALKER"	"50000"	"2017"	"No"
"588"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"JUAN ENRIQUE MORALESJARAMILLO"	"250000"	"2017"	"No"
"589"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"JOSE MIGUEL BEYTIA REYES"	"1e+06"	"2017"	"No"
"590"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"PABLO ANTONIO BERAZALUCE MATURANA"	"150000"	"2017"	"No"
"591"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"20000"	"2017"	"No"
"592"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"RAFAEL GUILLERMO RONDANELLI IZQUIERDO"	"1e+05"	"2017"	"No"
"593"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"TONKA OBILINOVIC"	"3e+05"	"2017"	"No"
"594"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"ROGELIO ZUÑIGA ESCUDERO"	"3e+05"	"2017"	"No"
"595"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"JENNIFER MADRID LATORRE"	"3200000"	"2017"	"No"
"596"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"LUIS DELGADO"	"4e+06"	"2017"	"No"
"597"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"IVONNE BARRIGA"	"2500000"	"2017"	"No"
"598"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"EDUARDO SAFIRIO"	"8750000"	"2017"	"No"
"599"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"ALBERTO LARRAIN"	"6e+06"	"2017"	"No"
"600"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"CHRISTOBAL ALTAMIRANO"	"4e+06"	"2017"	"No"
"601"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"CAROLINA VIVANCO"	"6e+06"	"2017"	"No"
"602"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"MARIA PAZ ORTEGA"	"150000"	"2017"	"No"
"603"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"CARMEN FREI"	"150000"	"2017"	"No"
"604"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"EUGENIO ORTEGA"	"4e+06"	"2017"	"No"
"605"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"PARTIDO DEMOCROTA CRISTIANO"	"41735680"	"2017"	"No"
"606"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"PARTIDO DEMOCROTA CRISTIANO"	"8263360"	"2017"	"No"
"607"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"BANCO SANTANDER CHILE"	"13155167"	"2017"	"No"
"608"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"4320515"	"2017"	"No"
"609"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"JUAN JOSE RAMON RODRIGUES MOLINARI"	"845000"	"2017"	"No"
"610"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"JUAN JOSE RAMON RODRIGUES MOLINARI"	"450000"	"2017"	"No"
"611"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"JUAN JOSE RAMON RODRIGUES MOLINARI"	"5e+05"	"2017"	"No"
"612"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"2e+05"	"2017"	"No"
"613"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	"JORGE PATRICIO VALVERDE CARBONELL"	"50000"	"2017"	"No"
"614"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"1e+05"	"2017"	"No"
"615"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"50000"	"2017"	"No"
"616"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"250000"	"2017"	"No"
"617"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"4338997"	"2017"	"No"
"618"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"24000"	"2017"	"No"
"619"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"236879"	"2017"	"No"
"620"	"CAROLINA GOIC BOROEVIC"	"PARTIDO DEMOCRATA CRISTIANO"	NA	"685000"	"2017"	"No"
"621"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"ERIC ORLANDO NAVARROTORRES"	"50000"	"2017"	"No"
"622"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	NA	"30000"	"2017"	"No"
"623"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"DANIEL GONZALO ARANCIBIA GUERRA"	"10000"	"2017"	"No"
"624"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"CLAUDIA ALICIA VELASQUEZ OJEDA"	"10000"	"2017"	"No"
"625"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"DANIELA ARELIS URIBECARO"	"5000"	"2017"	"No"
"626"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	NA	"25000"	"2017"	"No"
"627"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	NA	"50000"	"2017"	"No"
"628"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"AMADOR LISANDRO SEPULVEDA GARCIA"	"2000"	"2017"	"No"
"629"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	NA	"20000"	"2017"	"No"
"630"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"ANDREA CRISTINA UGALDE PRIETO"	"20000"	"2017"	"No"
"631"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	NA	"10000"	"2017"	"No"
"632"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"MIGUEL ANGEL MORALESVILLEGAS"	"3000"	"2017"	"No"
"633"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"IVAN FULVIO ESPINOZASALAS"	"10000"	"2017"	"No"
"634"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"RICARDO ANTONIO SANCHEZ HENRIQUEZ"	"20000"	"2017"	"No"
"635"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"FELIPE ANTONIO SANCHEZ VARAS"	"1e+05"	"2017"	"No"
"636"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"ROLANDO LUIS OSORIOCORTEZ"	"10000"	"2017"	"No"
"637"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"GUILLERMO LEONIDAS MARCELO CALDERON SALDIAS"	"5000"	"2017"	"No"
"638"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	NA	"50000"	"2017"	"No"
"639"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"CLAUDIO ANDRES SAEZGONZALEZ"	"10000"	"2017"	"No"
"640"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"NATALIA SOFIA SOBARZO GALLEANI"	"10000"	"2017"	"No"
"641"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"CESAR HERNAN LOPEZ TORNE"	"1e+05"	"2017"	"No"
"642"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"RENATO FABRIZIO GARIN GONZALEZ"	"2e+05"	"2017"	"No"
"643"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"SANDRA ANDREA GUZMANORTEGA"	"2e+05"	"2017"	"No"
"644"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"MARIA ISABEL IBA¥EZFIGUEROA"	"10000"	"2017"	"No"
"645"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"PATRICIA ELIZABETH BERMEDO BARBAGELATTA"	"1e+05"	"2017"	"No"
"646"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	NA	"1000"	"2017"	"No"
"647"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	NA	"10000"	"2017"	"No"
"648"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"CESAR ARMANDO ZU¥IGAROJAS"	"5000"	"2017"	"No"
"649"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"JIMENA DEL CARMEN CHANDIA GAETE"	"5000"	"2017"	"No"
"650"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"FERNANDO ECHEVERRIABASCU¥AN"	"50000"	"2017"	"No"
"651"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"BEATRIZ DE JESUS SANCHEZ MU¥OZ"	"2.5e+08"	"2017"	"No"
"652"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	NA	"7000"	"2017"	"No"
"653"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"JORGE FELIX ARRATE MAC-NIVEN"	"75000"	"2017"	"No"
"654"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"PATRICIO JAVIER DONAIRE OYANEDEL"	"10000"	"2017"	"No"
"655"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"JORGE RUBEN CANALESGATICA"	"5000"	"2017"	"No"
"656"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"GABRIEL EDGARDO VILLALOBOS AGUILERA"	"5000"	"2017"	"No"
"657"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"JOSE ARTURO REYES CASTRO"	"20000"	"2017"	"No"
"658"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"ALEJANDRA BRAVO ELUCHANS"	"10000"	"2017"	"No"
"659"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	NA	"5000"	"2017"	"No"
"660"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"CLAUDIA NATHALIE MIXJIMENEZ"	"30000"	"2017"	"No"
"661"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"KARINA LORETTA OLIVAPEREZ"	"40000"	"2017"	"No"
"662"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"LEONARDO ANDRES MALLEA ZAPATA"	"10000"	"2017"	"No"
"663"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"JIMENA SOLEDAD CARRASCO MADARIAGA"	"3e+05"	"2017"	"No"
"664"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	NA	"1000"	"2017"	"No"
"665"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	NA	"1e+05"	"2017"	"No"
"666"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"GONZALO CAMILO PINEDA HERRERA"	"10000"	"2017"	"No"
"667"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"PAULO ANDRES JORQUERA RODRIGUEZ"	"10000"	"2017"	"No"
"668"	"BEATRIZ SANCHEZ MUÑOZ"	"INDEPENDIENTE"	"JAVIERA ITALIA TOLEDO MU¥OZ"	"20000"	"2017"	"No"
