,Unnamed: 0,Nombre,URL Imagen,URL Imagen Pacto,Distrito,Partido,Pacto,Resumen,Links,Facebook,Instagram,Twitter,Imagen Github,Imagen Partido Github
10,10,Fernanda Andrea Morales Aracena,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1611885001.png,Distrito 1,Partido De Trabajadores Revolucionarios,Partido De Trabajadores Revolucionarios,Aún Fernanda Andrea Morales Aracena no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Fernanda Andrea Morales Aracena.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Partido De Trabajadores Revolucionarios.png
11,11,Francisco Javier Gonzalez Silva,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1610857380.png,Distrito 1,Independiente,Vamos Por Chile,Aún Francisco Javier Gonzalez Silva no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Francisco Javier Gonzalez Silva.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Independiente.png
12,12,Gigliola Maria Carlevarino Weitzel,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1610857380.png,Distrito 1,Independiente,Arica Siempre Arica,Aún Gigliola Maria Carlevarino Weitzel no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Gigliola Maria Carlevarino Weitzel.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Independiente.png
13,13,Hector Milla Bravo,https://quienesson.cl/assets/images/candidatos/1611278303.jpg,https://quienesson.cl/assets/images/pactos/pacto_1610862157.png,Distrito 1,Renovación Nacional,Vamos Por Chile,Aún Hector Milla Bravo no nos entrega información sobre su candidatura.,Estamos actualizando la información,https://www.facebook.com/hector.millabravo,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Hector Milla Bravo.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Renovación Nacional.png
14,14,Hermann Roberto Mondaca Raiteri,https://quienesson.cl/assets/images/candidatos/1611278560.jpg,https://quienesson.cl/assets/images/pactos/pacto_1610857380.png,Distrito 1,Independiente,Apruebo Dignidad,Aún Hermann Roberto Mondaca Raiteri no nos entrega información sobre su candidatura.,Estamos actualizando la información,https://www.facebook.com/hermannmondacaraiteri,Sin instagram,https://twitter.com/HermannMondacaR,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Hermann Roberto Mondaca Raiteri.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Independiente.png
15,15,Hortencia Hidalgo Caceres,https://quienesson.cl/assets/images/candidatos/1612365152.jpg,https://quienesson.cl/assets/images/pactos/pacto_1610861824.png,Distrito 1,Partido Socialista de Chile,Lista del Apruebo,Aún Hortencia Hidalgo Caceres no nos entrega información sobre su candidatura.,Estamos actualizando la información,https://www.facebook.com/Hortencia-Hidalgo-Constituyente-D1-105827331523683/,Sin instagram,https://twitter.com/Hortencia2018,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Hortencia Hidalgo Caceres.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Partido Socialista de Chile.png
16,16,Iris Andrea Rubio Medina,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1610857380.png,Distrito 1,Independiente,Lista del Apruebo,Aún Iris Andrea Rubio Medina no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Iris Andrea Rubio Medina.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Independiente.png
17,17,Jorge Bruno Abarca Riveros,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1610857380.png,Distrito 1,Independiente,Lista del Apruebo,Aún Jorge Bruno Abarca Riveros no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Jorge Bruno Abarca Riveros.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Independiente.png
18,18,Jose Isaac Barraza Llerena,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1610857380.png,Distrito 1,Independiente,Súmate Ahora,Aún Jose Isaac Barraza Llerena no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Jose Isaac Barraza Llerena.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Independiente.png
19,19,Judith Esther Luna Duarte,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1610857380.png,Distrito 1,Independiente,INDEPENDIENTES POR UNA NUEVA CONSTITUCION,Aún Judith Esther Luna Duarte no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Judith Esther Luna Duarte.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Independiente.png
